trade_name,active_ingredient,strength,dosage_form,drug_class,common_side_effects,serious_warning,similar_active_ingredients,similarity_risk_symptoms,switching_note,interaction_notes,search_aliases
Lipitor,Atorvastatin,20 mg,tablet,statin lipid-lowering,ألم عضلي؛ اضطراب معدة,اعتلال عضلي أو rhabdomyolysis نادر؛ مشاكل كبدية نادرة,Rosuvastatin; Simvastatin; Pravastatin,ألم عضلي شديد؛ ضعف شديد؛ بول داكن؛ اصفرار,استخدم جرعة مكافئة عند التحويل ولا تجمع statins دون وصفة,يتداخل مع مثبطات CYP3A4 مثل بعض macrolides/azoles؛ تجنب grapefruit بكميات كبيرة,lipitor; atorvastatin
Zithromax,Azithromycin,500 mg,tablet,macrolide antibiotic,إسهال؛ غثيان؛ ألم بطن؛ صداع,قد يطيل QT ويسبب اضطراب نظم عند المعرضين؛ إسهال شديد بعد المضاد يحتاج تقييمًا,Clarithromycin; Erythromycin,خفقان؛ دوخة؛ إغماء؛ إسهال شديد مستمر,لا تبدل المضاد دون تقييم نوع العدوى والجرعة والمدة,الحذر مع أدوية تطيل QT؛ clarithromycin/erythromycin تداخلاتها أكثر من azithromycin,zithromax; azithromycin
Cipro,Ciprofloxacin,500 mg,tablet,fluoroquinolone antibiotic,غثيان؛ إسهال؛ دوخة؛ صداع,خطر التهاب/تمزق الأوتار؛ اعتلال أعصاب؛ تأثيرات عصبية؛ قد يطيل QT,Levofloxacin; Moxifloxacin,ألم وتر مفاجئ؛ تنميل؛ خفقان؛ تشنجات؛ إسهال شديد,تجنب المجهود إذا ظهر ألم وتر وأوقفه وراجع الطبيب,افصل الجرعة عن الحديد والزنك والكالسيوم ومضادات الحموضة؛ الحذر مع warfarin وأدوية QT,cipro; ciprofloxacin
Nexium,Esomeprazole,20 mg,gastro-resistant/film-coated tablet,PPI acid reducer,صداع؛ انتفاخ؛ إمساك أو إسهال؛ غثيان,الاستخدام الطويل قد يرتبط بنقص Mg/B12 وكسور وعدوى معوية؛ أعراض إنذار هضمية تحتاج تقييمًا,Omeprazole; Pantoprazole; Lansoprazole,تقلصات؛ ضعف؛ إسهال مزمن؛ نزيف هضمي؛ فقدان وزن غير مفسر,لا تجمع أكثر من PPI؛ راجع الطبيب إذا استمرت الأعراض أو ظهرت أعراض إنذار,يفضل تجنب الجمع مع clopidogrel إن أمكن؛ افصل عن أدوية تتأثر بحموضة المعدة حسب النشرة,nexium; esomeprazole
Omeprazole,Omeprazole,20 mg,gastro-resistant capsule/tablet,PPI acid reducer,صداع؛ غازات؛ غثيان؛ إمساك أو إسهال,الاستخدام الطويل قد يرتبط بنقص Mg/B12 وكسور وعدوى؛ أعراض إنذار هضمية تحتاج تقييمًا,Esomeprazole; Lansoprazole,نزيف هضمي؛ فقدان وزن غير مفسر؛ إسهال شديد مستمر؛ ضعف/تشنجات,راجع الطبيب عند استمرار الأعراض؛ لا تجمعه مع PPI آخر,يفضل تجنب الجمع مع clopidogrel؛ الحذر مع warfarin وبعض أدوية الصرع/الفطريات حسب النشرة,omeprazole; prilosec
Glucophage,Metformin,850 mg,tablet,biguanide antidiabetic,غثيان؛ إسهال؛ انتفاخ؛ طعم معدني,حماض لبني نادر وخطير خاصة مع فشل كلوي أو جفاف شديد؛ نقص B12 مع الاستخدام الطويل,Siofor; other metformin brands,قيء شديد؛ تعب شديد؛ ألم عضلي؛ تنفس سريع؛ برودة أو دوخة شديدة,ابدأ تدريجيًا ومع الأكل لتقليل أعراض المعدة؛ لا تضف metformin آخر دون حساب الجرعة,قد يوقف مؤقتًا حول صبغات الأشعة أو الجفاف/المرض الحاد حسب الطبيب؛ راقب وظائف الكلى,glucophage; metformin
Diamicron MR,Gliclazide MR,60 mg,modified-release tablet,sulfonylurea antidiabetic,هبوط سكر؛ جوع؛ زيادة وزن؛ اضطراب معدة,هبوط سكر شديد ممكن خاصة مع قلة الأكل أو جرعة زائدة,Glimepiride; Glibenclamide; other gliclazide forms,تعرق؛ رعشة؛ تشوش؛ خفقان؛ إغماء,لا تبدل النوع MR بنوع عادي بنفس الجرعة؛ راقب السكر عند أي تغيير,يزداد هبوط السكر مع كحول وبعض المضادات وأدوية أخرى؛ يحتاج متابعة عند تغيير العلاج,diamicron mr; gliclazide mr; diamicron
Amaryl,Glimepiride,2 mg,tablet,sulfonylurea antidiabetic,هبوط سكر؛ دوخة؛ جوع؛ غثيان,هبوط سكر شديد قد يحدث مع تفويت الوجبات أو زيادة الجرعة,Gliclazide; Glibenclamide; other sulfonylureas,تعرق؛ خفقان؛ إغماء,راقب السكر عند التحويل بين السلفونيل يوريا؛ الجرعات ليست مكافئة مباشرة,يتأثر بأدوية كثيرة؛ الكحول وبعض المضادات قد يزيدان خطر هبوط السكر,amaryl; glimepiride
Janumet,Sitagliptin + Metformin,50 mg + 1000 mg,tablet,DPP-4 inhibitor + biguanide antidiabetic,غثيان؛ إسهال؛ صداع؛ ألم معدة,التهاب بنكرياس نادر؛ حماض لبني نادر مرتبط بمكون metformin,Metformin; Sitagliptin; other DPP-4 inhibitor combinations,ألم بطن شديد ممتد للظهر؛ قيء شديد؛ تنفس سريع؛ تعب شديد,لا تضف metformin إضافي دون حساب إجمالي الجرعة اليومية,راقب وظائف الكلى؛ قد يوقف metformin مؤقتًا مع صبغات الأشعة أو الجفاف حسب الطبيب,janumet; sitagliptin + metformin; sitagliptin; metformin
Jardiance,Empagliflozin,25 mg,tablet,SGLT2 inhibitor,كثرة تبول؛ عطش؛ عدوى فطرية تناسلية؛ عدوى بولية,حماض كيتوني سكري نادر قد يحدث حتى مع سكر غير مرتفع جدًا؛ جفاف أو هبوط ضغط,Dapagliflozin; Canagliflozin,غثيان؛ ألم بطن؛ تنفس سريع؛ جفاف؛ رائحة نفس كيتونية,اشرب سوائل كافية وراجع الطبيب عند مرض حاد أو صيام طويل أو جراحة,الحذر مع مدرات البول؛ قد يزيد هبوط السكر عند الجمع مع insulin أو sulfonylurea,jardiance; empagliflozin
Lantus,Insulin glargine,100 units/mL,injection solution/pen,long-acting basal insulin,هبوط سكر؛ زيادة وزن؛ تهيج موضع الحقن,هبوط سكر شديد قد يؤدي لتشنجات أو فقدان وعي؛ لا يستخدم لعلاج الحماض الكيتوني وحده,Insulin detemir; Insulin degludec; other basal insulins,تعرق؛ ارتباك؛ تشنجات؛ فقدان وعي؛ خفقان,لا تبدل نوع أو تركيز الإنسولين دون خطة واضحة وتعديل جرعات,beta blockers قد تخفي بعض أعراض الهبوط؛ راقب السكر عند تغيير أدوية السكر أو الكورتيزون,lantus; insulin glargine
NovoRapid,Insulin aspart,100 units/mL,injection solution/pen,rapid-acting mealtime insulin,هبوط سكر؛ تهيج موضع الحقن؛ زيادة وزن,هبوط سكر شديد؛ خطأ التوقيت أو الجرعة حول الوجبات قد يكون خطيرًا,Insulin lispro; Insulin glulisine; regular insulin,ارتباك؛ تشنجات؛ إغماء؛ تعرق شديد؛ خفقان,الجرعة مرتبطة بالوجبات والكربوهيدرات والسكر؛ لا تبدل النوع دون خطة,راقب السكر بدقة عند تغيير الطعام أو النشاط أو أدوية مثل الكورتيزون وbeta blockers,novorapid; insulin aspart
Euthyrox,Levothyroxine,100 mcg,tablet,thyroid hormone,خفقان؛ رجفة؛ أرق أو عصبية إذا زادت الجرعة,جرعة زائدة قد تسبب اضطراب نظم أو ألم صدر أو أعراض فرط نشاط الغدة,Other levothyroxine brands; Liothyronine is not equivalent,خفقان شديد؛ ألم صدر؛ فقدان وزن سريع؛ تعرق؛ رجفة شديدة,يفضل الثبات على نفس المنتج ومتابعة TSH عند تغيير العلامة أو الجرعة,خذها صباحًا على معدة فارغة؛ افصلها عن الحديد والكالسيوم ومضادات الحموضة والقهوة,euthyrox; levothyroxine
Norvasc,Amlodipine,5 mg,tablet,dihydropyridine calcium channel blocker,تورم كاحل؛ صداع؛ احمرار؛ دوخة,هبوط ضغط شديد أو تفاقم ألم الصدر نادرًا عند بعض المرضى,Felodipine; Nifedipine; Lercanidipine,دوخة شديدة؛ إغماء؛ تورم شديد؛ خفقان مستمر,قد يلزم دمجه مع دواء آخر للضغط بدل زيادة الجرعة إذا ظهر تورم,كميات كبيرة من grapefruit قد تزيد تركيز الدواء وآثاره الجانبية,norvasc; amlodipine
Cozaar,Losartan,50 mg,tablet,ARB antihypertensive,دوخة؛ تعب؛ ارتفاع بوتاسيوم,ممنوع في الحمل؛ قد يسبب تدهور وظائف الكلى أو فرط بوتاسيوم,Valsartan; Candesartan; Irbesartan; Telmisartan,ضعف شديد؛ اضطراب نظم؛ قلة بول؛ إغماء,لا تجمع ARB مع ACE inhibitor غالبًا إلا بتوجيه متخصص,الحذر مع مكملات/بدائل الملح المحتوية على بوتاسيوم وNSAIDs ومدرات محافظة على البوتاسيوم,cozaar; losartan
Atacand,Candesartan,16 mg,tablet,ARB antihypertensive,دوخة؛ صداع؛ تعب؛ ارتفاع بوتاسيوم,ممنوع في الحمل؛ راقب الكلى والبوتاسيوم,Losartan; Valsartan; Irbesartan; Telmisartan,إغماء؛ ضعف شديد؛ اضطراب نظم؛ قلة بول,التبديل بين ARBs يحتاج جرعة مكافئة ومتابعة ضغط وكلى وبوتاسيوم,الحذر مع NSAIDs المزمنة ومكملات البوتاسيوم ومدرات محافظة على البوتاسيوم,atacand; candesartan
Aprovel,Irbesartan,150 mg,tablet,ARB antihypertensive,دوخة؛ تعب؛ ارتفاع بوتاسيوم,ممنوع في الحمل؛ قد يسبب تدهور وظائف الكلى أو فرط بوتاسيوم,Losartan; Valsartan; Candesartan; Telmisartan,هبوط ضغط؛ ضعف شديد؛ اضطراب نظم؛ قلة بول,لا تضاعف أدوية نفس المسار دون توجيه طبي,الحذر مع NSAIDs المزمنة ومكملات البوتاسيوم ومدرات محافظة على البوتاسيوم,aprovel; irbesartan
Micardis,Telmisartan,40 mg,tablet,ARB antihypertensive,دوخة؛ ألم ظهر؛ ارتفاع بوتاسيوم,ممنوع في الحمل؛ راقب الكلى والبوتاسيوم,Losartan; Valsartan; Candesartan; Irbesartan,دوخة شديدة؛ قلة بول؛ ضعف شديد؛ اضطراب نظم,التحويل بين ARBs يكون بجرعة مكافئة ومتابعة ضغط,الحذر مع NSAIDs ومكملات البوتاسيوم ومدرات محافظة على البوتاسيوم,micardis; telmisartan
Coversyl,Perindopril,5 mg,tablet,ACE inhibitor,كحة جافة؛ دوخة؛ صداع؛ ارتفاع بوتاسيوم,وذمة وعائية نادرة وخطيرة؛ ممنوع في الحمل؛ قد يؤثر على الكلى/البوتاسيوم,Ramipril; Enalapril; Captopril; Lisinopril,تورم الوجه/اللسان؛ صعوبة تنفس؛ إغماء؛ قلة بول,إذا ظهرت كحة مزعجة قد يحول الطبيب إلى ARB؛ لا توقفه دون متابعة,يزيد البوتاسيوم؛ الحذر مع ARB ومكملات البوتاسيوم وNSAIDs ومدرات محافظة على البوتاسيوم,coversyl; perindopril
Capoten,Captopril,25 mg,tablet,ACE inhibitor,كحة؛ تغير طعم؛ دوخة؛ طفح,وذمة وعائية وانخفاض ضغط؛ ممنوع في الحمل؛ قد يؤثر على الكلى/البوتاسيوم,Enalapril; Ramipril; Perindopril; Lisinopril,تورم الوجه/اللسان؛ صعوبة تنفس؛ إغماء؛ قلة بول,غالبًا يستبدل بدواء أطول مفعول عند العلاج المزمن حسب الطبيب,الحذر مع مكملات البوتاسيوم وARB وNSAIDs ومدرات محافظة على البوتاسيوم,capoten; captopril
Lasix,Furosemide,40 mg,tablet,loop diuretic,كثرة تبول؛ جفاف؛ دوخة؛ نقص بوتاسيوم,اختلال أملاح أو جفاف شديد؛ قد يسبب هبوط ضغط أو مشاكل كلى,Bumetanide; Torsemide,تقلصات؛ خفقان؛ دوخة شديدة؛ عطش شديد؛ قلة بول,تابع الوزن والضغط والأملاح؛ لا تضاعف الجرعة دون وصفة,نقص البوتاسيوم يزيد سمية digoxin؛ الحذر مع lithium وNSAIDs وأدوية الضغط,lasix; furosemide
Aldactone,Spironolactone,25 mg,tablet,potassium-sparing diuretic/aldosterone antagonist,ارتفاع بوتاسيوم؛ ألم/تضخم ثدي؛ اضطراب دورة؛ دوخة,فرط بوتاسيوم خطير قد يسبب اضطراب نظم,Eplerenone; potassium-sparing diuretics,ضعف؛ خفقان؛ اضطراب نظم؛ تنميل؛ إغماء,تجنب بدائل الملح عالية البوتاسيوم؛ يحتاج متابعة K والكلى,الحذر مع ACEI/ARB ومكملات البوتاسيوم وNSAIDs,aldactone; spironolactone
Plavix,Clopidogrel,75 mg,tablet,P2Y12 antiplatelet,كدمات؛ نزيف بسيط؛ اضطراب معدة,نزيف شديد ممكن؛ لا توقفه بعد الدعامة/جلطة دون طبيب,Ticagrelor; Prasugrel; Aspirin is antiplatelet but not equivalent,نزيف لثة شديد؛ براز أسود؛ دم بالبول؛ ضعف شديد,لا توقفه أو تبدله بعد الدعامات أو الجلطات دون خطة من الطبيب,يزيد النزيف مع NSAIDs وanticoagulants؛ omeprazole/esomeprazole قد يقللان تأثيره,plavix; clopidogrel
Xarelto,Rivaroxaban,20 mg,tablet,DOAC anticoagulant; factor Xa inhibitor,نزيف؛ كدمات؛ غثيان,نزيف داخلي خطير؛ الإيقاف المفاجئ قد يزيد خطر الجلطات,Apixaban; Edoxaban; Dabigatran,دوخة؛ ضعف شديد؛ دم بالبول/البراز؛ صداع شديد؛ نزيف لا يتوقف,الالتزام بموعد ثابت مهم؛ لا توقف أو تبدل anticoagulant دون خطة,تداخل مع مثبطات/محفزات CYP3A4/P-gp؛ يزيد النزيف مع NSAIDs وantiplatelets,xarelto; rivaroxaban
Eliquis,Apixaban,5 mg,tablet,DOAC anticoagulant; factor Xa inhibitor,نزيف؛ كدمات؛ غثيان,نزيف خطير؛ الإيقاف المفاجئ قد يزيد خطر الجلطات,Rivaroxaban; Edoxaban; Dabigatran,دم بالبراز؛ دم بالبول؛ ضعف شديد؛ صداع شديد؛ نزيف لا يتوقف,لا توقف فجأة بدون خطة؛ الجرعات تختلف حسب العمر والوزن والكلى والسبب,يزيد النزيف مع NSAIDs وantiplatelets؛ يتداخل مع مثبطات/محفزات CYP3A4/P-gp,eliquis; apixaban
Crestor,Rosuvastatin,20 mg,tablet,statin lipid-lowering,ألم عضلات؛ صداع؛ غثيان؛ إمساك,اعتلال عضلي أو rhabdomyolysis نادر؛ مشاكل كبدية نادرة,Atorvastatin; Simvastatin; Pravastatin,ألم عضلي شديد؛ ضعف؛ بول داكن؛ اصفرار,استخدم جرعة مكافئة عند التحويل؛ لا تجمع statins دون وصفة,الحذر مع cyclosporine وبعض أدوية HIV/hepatitis C؛ تداخل grapefruit أقل من simvastatin/atorvastatin,crestor; rosuvastatin
Zocor,Simvastatin,20 mg,tablet,statin lipid-lowering,ألم عضلي؛ إمساك؛ صداع؛ اضطراب معدة,خطر اعتلال عضلي يزيد مع جرعات عالية أو تداخلات CYP3A4,Atorvastatin; Rosuvastatin,ضعف عضلي؛ ألم عضلي شديد؛ بول داكن؛ اصفرار,غالبًا يؤخذ مساءً؛ لا تجمعه مع statin آخر,تداخلات CYP3A4 عديدة؛ تجنب grapefruit وبعض macrolides/azoles إلا بتوجيه طبي,zocor; simvastatin
Ventolin,Salbutamol (Albuterol),100 mcg/puff,metered-dose inhaler,SABA bronchodilator/reliever,رعشة؛ خفقان؛ صداع؛ عصبية,الاحتياج المتكرر قد يدل على سوء السيطرة؛ جرعات عالية قد تسبب نقص بوتاسيوم واضطراب نظم,Terbutaline; other short-acting beta-agonists,خفقان شديد؛ ألم صدر؛ رعشة شديدة؛ ضيق نفس لا يتحسن,إذا زاد الاستخدام عن المعتاد فراجع خطة الربو/الصدر بدل الاعتماد عليه فقط,الحذر مع beta blockers؛ قد يزيد الخفقان مع منبهات أخرى أو مدرات تسبب نقص بوتاسيوم,ventolin; salbutamol albuterol; salbutamol; albuterol; proventil; proair
Symbicort,Budesonide + Formoterol,160 mcg + 4.5 mcg per inhalation,inhaler/turbuhaler,ICS/LABA,بحة؛ فطريات فم؛ صداع؛ رعشة أو خفقان,تفاقم ضيق النفس أو bronchospasm بعد الجرعة يحتاج عناية؛ لا يستخدم خارج خطة الطبيب,Other ICS/LABA combinations such as fluticasone/salmeterol,صفير مستمر؛ ضيق نفس شديد؛ فطريات فم مؤلمة؛ خفقان شديد,اشطف الفم بعد الجرعة؛ بعض الخطط تستخدمه كصيانة ومنقذ لكن ذلك يجب أن يكون بوصفة واضحة,الحذر مع مثبطات CYP3A4 القوية ومع أدوية تطيل QT أو تسبب نقص بوتاسيوم,symbicort; budesonide + formoterol; budesonide; formoterol; budesonide formoterol
Seretide,Fluticasone + Salmeterol,250 mcg + 50 mcg per inhalation,diskus/inhaler,ICS/LABA,بحة؛ فطريات فم؛ تهيج حلق؛ صداع,ليس بخاخ إنقاذ سريع؛ تفاقم الربو أو bronchospasm بعد الجرعة يحتاج عناية,Other ICS/LABA combinations such as budesonide/formoterol,تفاقم صفير؛ ضيق نفس؛ فطريات فم مؤلمة؛ خفقان شديد,الالتزام اليومي مهم؛ اشطف الفم بعد الاستخدام,الحذر مع مثبطات CYP3A4 القوية؛ قد يزيد أثر beta agonists مع منبهات أخرى,seretide; fluticasone + salmeterol; fluticasone; salmeterol; fluticasone salmeterol
Zyrtec,Cetirizine,10 mg,tablet,second-generation antihistamine,نعاس خفيف؛ جفاف فم؛ صداع,حساسية شديدة نادرة؛ قد يسبب نعاسًا مؤثرًا عند بعض الأشخاص,Levocetirizine; Loratadine,طفح شديد؛ تورم؛ صعوبة تنفس؛ نعاس شديد,يمكن التحويل لمضاد غير مهدئ عند النعاس,يزداد النعاس مع الكحول والمهدئات وبعض أدوية النوم,zyrtec; cetirizine
Telfast,Fexofenadine,120 mg,tablet,second-generation antihistamine,صداع؛ غثيان خفيف؛ دوخة,تفاعل تحسسي شديد نادر,Loratadine; Cetirizine,طفح؛ تورم؛ صعوبة تنفس؛ دوخة شديدة,لا تأخذه مع عصائر الفاكهة بكثرة لأنها قد تقلل الامتصاص,مضادات الحموضة المحتوية على aluminium/magnesium تقلل الامتصاص؛ افصل الجرعات,telfast; fexofenadine; allegra
Claritine,Loratadine,10 mg,tablet,second-generation antihistamine,صداع؛ جفاف فم؛ نعاس خفيف نادر,تفاعل تحسسي شديد نادر,Cetirizine; Fexofenadine; Desloratadine,تورم؛ صعوبة تنفس؛ طفح شديد,بديل مناسب عند حدوث نعاس مع cetirizine عند بعض المرضى,الحذر مع أمراض الكبد؛ قد تزيد مستوياته مع بعض مثبطات CYP3A4/2D6,claritine; loratadine; claritin
Congestal,Paracetamol + Pseudoephedrine HCl + Chlorpheniramine maleate,650 mg + 60 mg + 4 mg,tablet,cold/flu combination: analgesic/antipyretic + decongestant + sedating antihistamine,نعاس؛ جفاف فم؛ خفقان؛ أرق؛ دوخة,خطر جرعة زائدة من paracetamol؛ pseudoephedrine قد يرفع الضغط أو يسبب خفقانًا؛ chlorpheniramine يسبب نعاسًا,"Other cold/flu combinations containing paracetamol, pseudoephedrine, or antihistamines",تسارع نبض؛ أرق شديد؛ نعاس شديد؛ أعراض جرعة paracetamol زائدة,تجنب الجمع مع أي منتج برد/مسكن مشابه يحتوي paracetamol أو مزيل احتقان أو antihistamine,يمنع مع MAOIs خلال 14 يومًا؛ الحذر مع مرضى الضغط والقلب والجلوكوما وتضخم البروستاتا والكحول/المهدئات,congestal; paracetamol + pseudoephedrine hcl + chlorpheniramine maleate; paracetamol; pseudoephedrine hcl; chlorpheniramine maleate
Antinal,Nifuroxazide,200 mg,capsule,intestinal antibacterial/antidiarrheal adjunct,غثيان خفيف؛ ألم بطن؛ طفح نادر,الجفاف هو الخطر الأساسي في الإسهال؛ وجود دم أو حرارة عالية أو إسهال شديد يحتاج تقييمًا طبيًا,No close equivalent; rifaximin/loperamide/ORS are not interchangeable,طفح؛ ضيق نفس؛ عطش شديد؛ قلة بول؛ دوخة شديدة,ليس بديلًا لتعويض السوائل؛ الأولوية لمحلول الجفاف عند الإسهال,لا توجد تداخلات شائعة مهمة؛ تجنب الاعتماد عليه وحده عند علامات الجفاف أو العدوى الشديدة,antinal; nifuroxazide
Imodium,Loperamide,2 mg,capsule,antidiarrheal antimotility agent,إمساك؛ مغص؛ دوخة؛ غثيان,جرعات عالية قد تسبب اضطراب نظم خطير؛ لا يستخدم مع إسهال دموي أو حرارة عالية إلا بتقييم طبي,Diphenoxylate; other antimotility antidiarrheals,انتفاخ شديد؛ خفقان؛ ألم بطن شديد؛ إمساك شديد,تجنب الاستخدام المطول دون تقييم سبب الإسهال,الحذر مع مثبطات P-gp/CYP3A4 بجرعات عالية؛ لا يغني عن تعويض السوائل,imodium; loperamide
Buscopan,Hyoscine butylbromide,10 mg,tablet,antispasmodic anticholinergic,جفاف فم؛ دوخة؛ زغللة؛ إمساك,احتباس بول أو زرق حاد نادر؛ حساسية شديدة نادرة,Dicyclomine; other anticholinergic antispasmodics,ألم عين مفاجئ؛ تشوش رؤية؛ احتباس بول؛ خفقان شديد,للمغص قصير المدى؛ الألم المتكرر أو الشديد يحتاج تقييم السبب,الحذر مع مضادات كولين أخرى ومع الجلوكوما وتضخم البروستاتا وبعض أمراض القلب,buscopan; hyoscine butylbromide
